filename,start_time,end_time,primary_label,confidence
H65_20230506_141000.ogg,15.0,18.0,greani1,0.5249712467193604
H65_20230506_141000.ogg,22.0,25.0,greani1,0.4812724590301513
H65_20230506_141000.ogg,30.0,33.0,yercac1,0.1504395753145218
H11_20230422_070000.ogg,11.0,14.0,ywcpar,0.4518959522247314
H11_20230422_070000.ogg,12.0,15.0,ywcpar,0.6612206697463989
H11_20230422_070000.ogg,13.0,16.0,ywcpar,0.8665257692337036
H11_20230422_070000.ogg,14.0,17.0,ywcpar,0.5713297724723816
H11_20230422_070000.ogg,15.0,18.0,ywcpar,0.4673008918762207
H11_20230422_070000.ogg,16.0,19.0,ywcpar,0.4005658328533172
H11_20230422_070000.ogg,17.0,20.0,ywcpar,0.7702668905258179
H11_20230422_070000.ogg,18.0,21.0,ywcpar,0.5046525001525879
H11_20230422_070000.ogg,19.0,22.0,ywcpar,0.646780788898468
H11_20230422_070000.ogg,20.0,23.0,ywcpar,0.4160342216491699
H11_20230422_070000.ogg,33.0,36.0,bugtan,0.2919470965862274
H11_20230422_070000.ogg,34.0,37.0,ywcpar,0.569852352142334
H11_20230422_070000.ogg,35.0,38.0,ywcpar,0.3389470279216766
H11_20230422_070000.ogg,36.0,39.0,ywcpar,0.4859949946403503
H11_20230422_070000.ogg,45.0,48.0,baymac,0.1909161657094955
H11_20230422_070000.ogg,48.0,51.0,ywcpar,0.4662821590900421
H11_20230422_070000.ogg,51.0,54.0,baymac,0.4567778408527374
H11_20230422_070000.ogg,52.0,55.0,baymac,0.6974647045135498
H11_20230422_070000.ogg,53.0,56.0,baymac,0.664455235004425
H11_20230422_070000.ogg,54.0,57.0,baymac,0.4215402901172638
H11_20230422_070000.ogg,56.0,59.0,baymac,0.280355840921402
H65_20230518_133000.ogg,0.0,3.0,tbsfin1,0.6882085204124451
H65_20230518_133000.ogg,1.0,4.0,tbsfin1,0.7616450786590576
H65_20230518_133000.ogg,2.0,5.0,tbsfin1,0.6185181736946106
H65_20230518_133000.ogg,3.0,6.0,tbsfin1,0.9451765418052672
H65_20230518_133000.ogg,4.0,7.0,tbsfin1,0.938845157623291
H65_20230518_133000.ogg,5.0,8.0,tbsfin1,0.7478293776512146
H65_20230518_133000.ogg,6.0,9.0,tbsfin1,0.7182084918022156
H65_20230518_133000.ogg,7.0,10.0,tbsfin1,0.6153801083564758
H65_20230518_133000.ogg,8.0,11.0,tbsfin1,0.8241679668426514
H65_20230518_133000.ogg,9.0,12.0,tbsfin1,0.8070164322853088
H65_20230518_133000.ogg,10.0,13.0,tbsfin1,0.5907400250434875
H65_20230518_133000.ogg,11.0,14.0,tbsfin1,0.3481405973434448
H65_20230518_133000.ogg,13.0,16.0,butsal1,0.4101610779762268
